Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1
NYS-2008-0196,Paul Smiths,2008-09-05T00:00:00,2008-09-05T00:00:00,2008-09-11T00:00:00,5,5A,FRANKLIN,BRIGHTON,Incendiary,10 - Timber  - Heavy Litter/Downed Fuels,5,9.2,44.43056,-74.2391,Conservation Easement,Paul Smiths College,36,0,0,0,0,0,0,"Bassage,Keith ",Ranger Patrol,,"{'longitude': '-74.2391', 'needs_recoding': False, 'latitude': '44.43056'}"
NYS-2008-0198,Rock Street,2008-09-05T00:00:00,2008-09-08T00:00:00,2008-09-08T00:00:00,5,5A,FRANKLIN,FRANKLIN,Miscellaneous, 4 - Brush - Heavy/Volatile,5,2,44.30153,-73.94166,Forest Preserve,Saranac Lake Wild Forest,0,0,0,0,0,0,0,"Balerno,Jeffrey ",Other,,"{'longitude': '-73.94166', 'needs_recoding': False, 'latitude': '44.30153'}"
NYS-2008-0199,stick pond,2008-09-25T00:00:00,2008-09-25T00:00:00,2008-09-26T00:00:00,7,7A,ONONDAGA,LYSANDER,Equipment, 1 - Grass - Light,5,0.2,43.19616,-76.31803,Wildlife Management Area,three rivers,0,0,0,0,0,0,0,"Jackson,Scott ",Other,,"{'longitude': '-76.31803', 'needs_recoding': False, 'latitude': '43.19616'}"
NYS-2008-0200,Marsh Pond Fire,2008-09-25T00:00:00,2008-10-01T00:00:00,2008-10-01T00:00:00,7,7A,BROOME,SANFORD,Campfire, 8 - Timber - Light Hardwood Litter,5,0.1,42.12181,-75.53826,State Forest/RF Area,Marsh Pond,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.53826', 'needs_recoding': False, 'latitude': '42.12181'}"
NYS-2008-0201,Beaver Meadow 1,2008-10-13T00:00:00,2008-10-13T00:00:00,2008-10-13T00:00:00,7,7A,CHENANGO,SMYRNA,Incendiary, 8 - Timber - Light Hardwood Litter,4,0.1,42.70475,-75.65232,State Forest/RF Area,Beaver Meadow SF,0,0,0,0,0,0,0,"McPherson,James ",911 Dispatch,,"{'longitude': '-75.65232', 'needs_recoding': False, 'latitude': '42.70475'}"
NYS-2008-0202,Beaver Meadow 2,2008-10-13T00:00:00,2008-10-13T00:00:00,2008-10-13T00:00:00,7,7A,CHENANGO,SMYRNA,Incendiary, 8 - Timber - Light Hardwood Litter,4,0.1,42.6967,-75.66524,State Forest/RF Area,Beaver Meadow SF,0,0,0,0,0,0,0,"McPherson,James ",911 Dispatch,,"{'longitude': '-75.66524', 'needs_recoding': False, 'latitude': '42.6967'}"
NYS-2008-0203,Beaver Meadow 3,2008-10-13T00:00:00,2008-10-13T00:00:00,2008-10-13T00:00:00,7,7A,CHENANGO,OTSELIC,Incendiary, 8 - Timber - Light Hardwood Litter,4,0.1,42.70834,-75.69164,Private Property,,0,0,0,0,0,0,0,"Prunoske,James ",911 Dispatch,,"{'longitude': '-75.69164', 'needs_recoding': False, 'latitude': '42.70834'}"
NYS-2008-0204,Hitchcock Hill Fire,2008-10-20T00:00:00,2008-10-20T00:00:00,2008-10-23T00:00:00,3,3B,PUTNAM,CARMEL,Miscellaneous, 8 - Timber - Light Hardwood Litter,5,4,41.41201,-73.74027,Private Property,,0,0,0,0,0,0,0,"Baldwin,Benjamin C",911 Dispatch,,"{'longitude': '-73.74027', 'needs_recoding': False, 'latitude': '41.41201'}"
NYS-2008-0205,Big Field South,2008-10-30T00:00:00,2008-11-03T00:00:00,2008-11-03T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,4,11,40.8974,-72.82392,Wildlife Management Area,Ottis Pike Preserve,0,0,0,0,0,0,0,"Thompson,Michael W",Ranger Patrol,,"{'longitude': '-72.82392', 'needs_recoding': False, 'latitude': '40.8974'}"
NYS-2008-0206,Erwin Hollow SF,2008-11-04T00:00:00,2008-11-04T00:00:00,2008-11-06T00:00:00,8,8A,STEUBEN,ERWIN,Campfire, 9 - Timber - Medium Hardwood Litter,4,3,42.17687,-77.10489,State Forest/RF Area,Erwin Hollow,0,0,0,0,0,0,0,"Dormer,Patrick G",Other,,"{'longitude': '-77.10489', 'needs_recoding': False, 'latitude': '42.17687'}"
NYS-2008-0207,Boulder Wood Dr,2008-11-22T00:00:00,2008-11-22T00:00:00,2008-11-22T00:00:00,5,5E,WARREN,QUEENSBURY,Debris Burning, 3 - Grass - Heavy,5,2,43.40753,-73.62822,Private Property,na,0,0,0,0,0,0,0,"Donegan,Evan F",911 Dispatch,,"{'longitude': '-73.62822', 'needs_recoding': False, 'latitude': '43.40753'}"
NYS-2009-0001,Keese Fire,2009-03-15T00:00:00,2009-03-15T00:00:00,2009-03-15T00:00:00,5,5F,WASHINGTON,JACKSON,Debris Burning, 1 - Grass - Light,5,0.3,43.10929,-73.3917,Private Property,,0,0,0,0,0,1,0,"Bodnar,Michael J",911 Dispatch,,"{'longitude': '-73.3917', 'needs_recoding': False, 'latitude': '43.10929'}"
NYS-2009-0002,Manley Fire,2009-03-16T00:00:00,2009-03-16T00:00:00,2009-03-16T00:00:00,5,5B,FRANKLIN,MALONE,Miscellaneous, 1 - Grass - Light,5,0.1,44.82655,-74.32146,Private Property,,0,0,0,0,0,0,0,"Gliddi,Thomas ",911 Dispatch,,"{'longitude': '-74.32146', 'needs_recoding': False, 'latitude': '44.82655'}"
NYS-2009-0003,Tuscarora,2009-03-16T00:00:00,2009-03-16T00:00:00,2009-03-16T00:00:00,8,8A,STEUBEN,TUSCARORA,Debris Burning, 1 - Grass - Light,4,5,42.08418,-77.22867,Private Property,,0,0,0,0,0,1,1,"Meehan,William X",911 Dispatch,,"{'longitude': '-77.22867', 'needs_recoding': False, 'latitude': '42.08418'}"
NYS-2009-0004,Swasika Rd Fire,2009-03-17T00:00:00,2009-03-17T00:00:00,2009-03-17T00:00:00,5,5B,CLINTON,BLACK BROOK,Debris Burning, 1 - Grass - Light,5,0.5,44.5136,-73.76744,Private Property,,0,0,0,0,0,0,0,"Fox,Daniel ",911 Dispatch,,"{'longitude': '-73.76744', 'needs_recoding': False, 'latitude': '44.5136'}"
NYS-2009-0005,St Patricks day fire,2009-03-17T00:00:00,2009-03-17T00:00:00,2009-03-17T00:00:00,9,9A,CATTARAUGUS,EAST OTTO,Miscellaneous, 1 - Grass - Light,3,7,42.36414,-78.67726,Private Property,East Otto State Forest,0,0,0,0,0,0,0,"Flanagan,Martin T",911 Dispatch,,"{'longitude': '-78.67726', 'needs_recoding': False, 'latitude': '42.36414'}"
NYS-2009-0006,Fred Rial,2009-03-19T00:00:00,2009-03-19T00:00:00,2009-03-20T00:00:00,8,8A,STEUBEN,ADDISON,Equipment, 1 - Grass - Light,4,6,42.17619,-77.23384,Private Property,,6,0,0,1,1,1,3,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.23384', 'needs_recoding': False, 'latitude': '42.17619'}"
NYS-2009-0007,Clendenning Fire,2009-03-20T00:00:00,2009-03-20T00:00:00,2009-03-20T00:00:00,8,8A,STEUBEN,LINDLEY,Debris Burning, 1 - Grass - Light,5,2,42.06589,-77.19947,Private Property,,0,0,0,0,0,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.19947', 'needs_recoding': False, 'latitude': '42.06589'}"
NYS-2009-0008,bidelspach,2009-03-22T00:00:00,2009-03-22T00:00:00,2009-03-22T00:00:00,5,5B,ESSEX,JAY,Debris Burning, 1 - Grass - Light,3,0.5,44.24897,-73.39499,Private Property,,0,0,0,0,0,0,0,"Fox,Daniel ",DEC Dispatch,,"{'longitude': '-73.39499', 'needs_recoding': False, 'latitude': '44.24897'}"
NYS-2009-0009,Gates Hill Road Fire,2009-03-21T00:00:00,2009-03-21T00:00:00,2009-03-21T00:00:00,4,4B,SCHOHARIE,BROOME,Debris Burning, 1 - Grass - Light,5,0.2,42.51823,-74.31581,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.31581', 'needs_recoding': False, 'latitude': '42.51823'}"
NYS-2009-0010,Drift Hill Road Fire,2009-03-21T00:00:00,2009-03-21T00:00:00,2009-03-21T00:00:00,4,4B,SCHOHARIE,SUMMIT,Incendiary, 1 - Grass - Light,4,12.8,42.57087,-74.64881,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.64881', 'needs_recoding': False, 'latitude': '42.57087'}"
NYS-2009-0011,Turon Road Fire,2009-03-14T00:00:00,2009-03-14T00:00:00,2009-03-14T00:00:00,4,4A,GREENE,GREENVILLE,Miscellaneous, 1 - Grass - Light,4,2,42.41743,-74.00902,Private Property,,0,0,0,0,0,0,0,"Glesmann,Karen ",911 Dispatch,,"{'longitude': '-74.00902', 'needs_recoding': False, 'latitude': '42.41743'}"
NYS-2009-0012,River Road North Fire,2009-03-22T00:00:00,2009-03-23T00:00:00,2009-03-23T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 3 - Grass - Heavy,4,24.3,40.9074,-72.75955,Wildlife Management Area,peconic Headwaters nma,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'longitude': '-72.75955', 'needs_recoding': False, 'latitude': '40.9074'}"
NYS-2009-0013,Greenville Fire,2009-03-23T00:00:00,2009-03-23T00:00:00,2009-03-23T00:00:00,4,4A,GREENE,GREENVILLE,Debris Burning, 1 - Grass - Light,4,2,42.40523,-74.02503,Private Property,,0,0,0,0,0,1,0,"Nelson,Christine X",911 Dispatch,,"{'longitude': '-74.02503', 'needs_recoding': False, 'latitude': '42.40523'}"
NYS-2009-0014,James Baird Fire,2009-03-23T00:00:00,2009-03-24T00:00:00,2009-04-24T00:00:00,3,3B,DUTCHESS,LA GRANGE,Campfire, 8 - Timber - Light Hardwood Litter,4,7,41.68249,-73.79105,OPR&HP (State Parks),James Baird SP,0,0,0,0,0,0,0,"Temple,Jenifer L",911 Dispatch,,"{'longitude': '-73.79105', 'needs_recoding': False, 'latitude': '41.68249'}"
NYS-2009-0015,Rush Oak Openings,2009-03-21T00:00:00,2009-03-24T00:00:00,2009-03-22T00:00:00,8,8A,MONROE,RUSH,Prescribed Fire, 1 - Grass - Light,4,55,42.96166,-77.68,Unique Area,Rush Oak Openings,0,0,0,0,0,0,0,"Meehan,William X",Ranger Patrol,,"{'longitude': '-77.68', 'needs_recoding': False, 'latitude': '42.96166'}"
NYS-2009-0016,Rush Oak Openings II,2009-03-24T00:00:00,2009-03-24T00:00:00,2009-03-25T00:00:00,8,8A,MONROE,RUSH,Prescribed Fire, 3 - Grass - Heavy,4,43,42.96166,-77.68,Unique Area,Rush Oak Openings,0,0,0,0,0,0,0,"Carpenter,Timothy J",Ranger Patrol,,"{'longitude': '-77.68', 'needs_recoding': False, 'latitude': '42.96166'}"
NYS-2009-0017,College lane Fire,2009-03-24T00:00:00,2009-03-24T00:00:00,2009-03-24T00:00:00,3,3B,DUTCHESS,WASHINGTON,Debris Burning, 9 - Timber - Medium Hardwood Litter,5,0.3,41.76924,-73.70797,Private Property,,0,0,0,0,0,1,0,"Temple,Jenifer L",911 Dispatch,,"{'longitude': '-73.70797', 'needs_recoding': False, 'latitude': '41.76924'}"
NYS-2009-0018,Ranch Hill Fire,2009-03-24T00:00:00,2009-03-24T00:00:00,2009-03-24T00:00:00,3,3A,SULLIVAN,FALLSBURGH,Debris Burning, 7 - Brush - Understory,1,1,41.67752,-74.60662,Private Property,N/A,0,0,0,0,0,0,0,"Miller,Gary W",911 Dispatch,,"{'longitude': '-74.60662', 'needs_recoding': False, 'latitude': '41.67752'}"
NYS-2009-0019,castle rock,2009-03-24T00:00:00,2009-03-24T00:00:00,2009-04-06T00:00:00,3,3B,PUTNAM,PHILIPSTOWN,Incendiary,10 - Timber  - Heavy Litter/Downed Fuels,4,70,41.3671,-73.94412,Unique Area,Castle Rock,0,0,0,0,0,0,0,"Baldwin,Benjamin C",911 Dispatch,,"{'longitude': '-73.94412', 'needs_recoding': False, 'latitude': '41.3671'}"
NYS-2009-0020,Callicoon,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,3,3A,SULLIVAN,BETHEL,Debris Burning, 8 - Timber - Light Hardwood Litter,4,5.5,41.69164,-74.90998,Private Property,,0,0,0,0,0,0,0,"Miller,Gary W",911 Dispatch,,"{'longitude': '-74.90998', 'needs_recoding': False, 'latitude': '41.69164'}"
NYS-2009-0021,Monticello,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,3,3A,SULLIVAN,THOMPSON,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,3,41.6945,-74.701,Private Property,,0,0,0,0,0,0,0,"Meade,David ",911 Dispatch,,"{'longitude': '-74.701', 'needs_recoding': False, 'latitude': '41.6945'}"
NYS-2009-0022,Beaver Meadow Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,7,7A,CHENANGO,OTSELIC,Smoking, 1 - Grass - Light,5,0.5,42.67848,-75.71955,Private Property,,0,0,0,0,0,0,0,"Prunoske,James ",911 Dispatch,,"{'longitude': '-75.71955', 'needs_recoding': False, 'latitude': '42.67848'}"
NYS-2009-0023,Swan Lake,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,3,3A,SULLIVAN,BETHEL,Debris Burning, 8 - Timber - Light Hardwood Litter,3,1.5,41.74129,-74.75206,Private Property,,0,0,0,0,0,0,0,"Seeley,Jason J",911 Dispatch,,"{'longitude': '-74.75206', 'needs_recoding': False, 'latitude': '41.74129'}"
NYS-2009-0024,Hartsville Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,8,8A,STEUBEN,HARTSVILLE,Debris Burning, 1 - Grass - Light,5,3.5,42.21478,-77.72074,Private Property,,0,0,0,0,0,0,0,"Dormer,Patrick G",911 Dispatch,,"{'longitude': '-77.72074', 'needs_recoding': False, 'latitude': '42.21478'}"
NYS-2009-0025,Woodhill Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-26T00:00:00,8,8A,YATES,ITALY,Smoking, 1 - Grass - Light,4,30,42.61397,-77.2849,Private Property,,0,0,0,0,0,0,0,"Dormer,Patrick G",DEC Dispatch,,"{'longitude': '-77.2849', 'needs_recoding': False, 'latitude': '42.61397'}"
NYS-2009-0026,walker valley,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,3,3B,ULSTER,SHAWANGUNK,Debris Burning, 8 - Timber - Light Hardwood Litter,5,4,41.64735,-74.37456,Private Property,,0,0,0,0,0,0,0,"Mecus,Robert ",911 Dispatch,,"{'longitude': '-74.37456', 'needs_recoding': False, 'latitude': '41.64735'}"
NYS-2009-0027,Searsburg Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,8,8A,SCHUYLER,HECTOR,Debris Burning, 1 - Grass - Light,4,17.5,42.53028,-76.7685,Private Property,,0,0,0,1,0,2,0,"Meehan,William X",911 Dispatch,,"{'longitude': '-76.7685', 'needs_recoding': False, 'latitude': '42.53028'}"
NYS-2009-0028,Barn Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-25T00:00:00,7,7A,OSWEGO,SCHROEPPEL,Miscellaneous, 1 - Grass - Light,4,7,43.27894,-76.27267,Private Property,,0,0,0,0,0,0,0,"Jackson,Scott ",911 Dispatch,,"{'longitude': '-76.27267', 'needs_recoding': False, 'latitude': '43.27894'}"
NYS-2009-0029,Arnold Fire,2009-03-25T00:00:00,2009-03-25T00:00:00,2009-03-26T00:00:00,7,7A,BROOME,LISLE,Debris Burning, 1 - Grass - Light,4,25,42.31314,-76.05565,Private Property,,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-76.05565', 'needs_recoding': False, 'latitude': '42.31314'}"
NYS-2009-0030,King Fire,2009-03-21T00:00:00,2009-03-27T00:00:00,2009-03-21T00:00:00,5,5B,FRANKLIN,FORT COVINGTON,Debris Burning, 1 - Grass - Light,5,0.1,44.96683,-74.57083,Private Property,,0,0,0,0,0,0,0,"Gliddi,Thomas ",911 Dispatch,,"{'longitude': '-74.57083', 'needs_recoding': False, 'latitude': '44.96683'}"
NYS-2009-0031,Collar Fire,2009-03-28T00:00:00,2009-03-28T00:00:00,2009-03-28T00:00:00,7,7A,CHENANGO,PLYMOUTH,Incendiary, 8 - Timber - Light Hardwood Litter,5,0.5,42.55808,-75.62853,Private Property,,0,0,0,0,0,0,0,"McPherson,James ",911 Dispatch,,"{'longitude': '-75.62853', 'needs_recoding': False, 'latitude': '42.55808'}"
NYS-2009-0032,Valyou Fire,2009-03-27T00:00:00,2009-03-27T00:00:00,2009-03-27T00:00:00,4,4A,RENSSELAER,PITTSTOWN,Debris Burning, 2 - Grass - Understory,5,0.1,42.85569,-73.58863,Private Property,,0,0,0,0,1,0,0,"Hess,Joseph C",911 Dispatch,,"{'longitude': '-73.58863', 'needs_recoding': False, 'latitude': '42.85569'}"
NYS-2009-0033,160 Mannis Road,2009-03-21T00:00:00,2009-03-21T00:00:00,2009-03-21T00:00:00,5,5E,WARREN,QUEENSBURY,Children, 8 - Timber - Light Hardwood Litter,5,0.1,43.356,-73.675,Private Property,,0,0,1,0,1,0,1,"Donegan,Evan F",911 Dispatch,,"{'longitude': '-73.675', 'needs_recoding': False, 'latitude': '43.356'}"
NYS-2009-0034,West Fulton Road Fire,2009-03-27T00:00:00,2009-03-27T00:00:00,2009-03-27T00:00:00,4,4B,SCHOHARIE,FULTON,Debris Burning, 1 - Grass - Light,5,2,42.60373,-74.47229,Private Property,,0,0,1,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.47229', 'needs_recoding': False, 'latitude': '42.60373'}"
NYS-2009-0035,Cameron Rx,2009-04-02T00:00:00,2009-04-02T00:00:00,2009-04-02T00:00:00,8,8A,STEUBEN,CAMERON,Prescribed Fire, 3 - Grass - Heavy,4,17,42.19,-77.37833,State Forest/RF Area,Cameron Mills,0,0,0,0,0,0,0,"Carpenter,Timothy J",Ranger Patrol,,"{'longitude': '-77.37833', 'needs_recoding': False, 'latitude': '42.19'}"
NYS-2009-0036,Frogley Fire,2009-04-02T00:00:00,2009-04-02T00:00:00,2009-04-02T00:00:00,4,4B,SCHOHARIE,MIDDLEBURGH,Debris Burning, 1 - Grass - Light,5,0.5,42.36139,-74.22161,Private Property,,0,0,0,0,0,0,0,"Henry,William ",Landowner,,"{'longitude': '-74.22161', 'needs_recoding': False, 'latitude': '42.36139'}"
NYS-2009-0037,Van Horne Fire,2009-04-02T00:00:00,2009-04-02T00:00:00,2009-04-02T00:00:00,4,4B,SCHOHARIE,BROOME,Debris Burning, 1 - Grass - Light,5,2,42.51678,-74.25832,Private Property,,0,0,0,0,0,0,0,"Edmunds,Thomas R",911 Dispatch,,"{'longitude': '-74.25832', 'needs_recoding': False, 'latitude': '42.51678'}"
NYS-2009-0038,Castleman,2009-04-02T00:00:00,2009-04-02T00:00:00,2009-04-02T00:00:00,7,7A,BROOME,VESTAL,Debris Burning, 1 - Grass - Light,4,8.2,42.01349,-76.03764,Private Property,,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-76.03764', 'needs_recoding': False, 'latitude': '42.01349'}"
NYS-2009-0039,State Line,2009-04-09T00:00:00,2009-04-09T00:00:00,2009-04-09T00:00:00,8,8A,STEUBEN,CATON,Children, 1 - Grass - Light,5,2,42.00087,-77.02112,Private Property,,0,0,0,0,0,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.02112', 'needs_recoding': False, 'latitude': '42.00087'}"
