Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1
NYS-2008-0001,OBPP Powerline Surge ,2008-01-21T00:00:00,2008-01-21T00:00:00,2008-01-21T00:00:00,1,1A,SUFFOLK,BABYLON,Equipment, 8 - Timber - Light Hardwood Litter,5,0.2,40.7851,-73.29247,State Forest/RF Area,Oak Brush Plains Preserve,0,0,0,0,0,0,0,"Byrnes,Timothy ",Fire Department,,"{'longitude': '-73.29247', 'needs_recoding': False, 'latitude': '40.7851'}"
NYS-2008-0002,Otis Pike @ Dog Pond Line Rd,2008-03-18T00:00:00,2008-03-18T00:00:00,2008-03-18T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,10.9,40.902,-72.802,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.802', 'needs_recoding': False, 'latitude': '40.902'}"
NYS-2008-0003,Otis Pike @ Linus Dog Pond,2008-03-18T00:00:00,2008-03-18T00:00:00,2008-03-18T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,2.3,40.888,-72.818,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.818', 'needs_recoding': False, 'latitude': '40.888'}"
NYS-2008-0004,Quadt Fire,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,4,4B,SCHOHARIE,SCHOHARIE,Miscellaneous, 1 - Grass - Light,5,0.2,42.65,-74.32,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.32', 'needs_recoding': False, 'latitude': '42.65'}"
NYS-2008-0005,Prestons Pond,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,5.8,40.9021,-72.82048,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.82048', 'needs_recoding': False, 'latitude': '40.9021'}"
NYS-2008-0006,Wellhead Pond,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,5.8,40.90167,-72.82158,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.82158', 'needs_recoding': False, 'latitude': '40.90167'}"
NYS-2008-0007,Brown Fire,2008-03-24T00:00:00,2008-03-24T00:00:00,2008-03-24T00:00:00,4,4B,SCHOHARIE,SCHOHARIE,Debris Burning, 1 - Grass - Light,5,1,42.697,-74.257,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.257', 'needs_recoding': False, 'latitude': '42.697'}"
NYS-2008-0008,EASTPORT GRASS FIRE,2008-03-25T00:00:00,2008-03-25T00:00:00,2008-03-25T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,14,40.86325,-72.7241,Wildlife Management Area,Eastport Conservation Area,0,0,0,0,0,0,0,"Byrnes,Timothy ",Ranger Patrol,,"{'longitude': '-72.7241', 'needs_recoding': False, 'latitude': '40.86325'}"
NYS-2008-0009,Center Hill Road Fire,2008-03-25T00:00:00,2008-03-25T00:00:00,2008-03-25T00:00:00,4,4A,COLUMBIA,COPAKE,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,7,42.14286,-73.5576,Private Property,,0,0,0,0,1,0,0,"DiCintio,Chris A",911 Dispatch,,"{'longitude': '-73.5576', 'needs_recoding': False, 'latitude': '42.14286'}"
NYS-2008-0012,Wellhead & Big Field Take 2,2008-04-03T00:00:00,2008-04-03T00:00:00,2008-04-03T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,20.4,40.90304,-72.8238,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'longitude': '-72.8238', 'needs_recoding': False, 'latitude': '40.90304'}"
NYS-2008-0013,Hicks Road,2008-04-03T00:00:00,2008-04-05T00:00:00,2008-04-04T00:00:00,8,8A,ONTARIO,SOUTH BRISTOL,Debris Burning, 1 - Grass - Light,4,11.8,42.73785,-77.34983,Private Property,,0,0,0,0,0,0,0,"Dormer,Patrick G",911 Dispatch,,"{'longitude': '-77.34983', 'needs_recoding': False, 'latitude': '42.73785'}"
NYS-2008-0014,Swyer Unit,2008-04-07T00:00:00,2008-04-07T00:00:00,2008-04-07T00:00:00,4,4A,ALBANY,ALBANY,Prescribed Fire, 3 - Grass - Heavy,5,3,42.7158,-73.87235,Unique Area,Albany Pine Bush Preserve,0,0,0,0,0,0,0,"Glesmann,Karen ",Other,,"{'longitude': '-73.87235', 'needs_recoding': False, 'latitude': '42.7158'}"
NYS-2008-0015,LaFayetteville MUA Fire,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-10T00:00:00,3,3B,DUTCHESS,MILAN,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,45.9,41.97197,-73.7459,State Forest/RF Area,LaFayetteville MUA,0,0,0,0,0,0,0,"Deslauriers,Jacob P",911 Dispatch,,"{'longitude': '-73.7459', 'needs_recoding': False, 'latitude': '41.97197'}"
NYS-2008-0016,Mohonk Rx 4/9/09,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-09T00:00:00,3,3B,ULSTER,MARBLETOWN,Prescribed Fire, 3 - Grass - Heavy,5,6.2,41.87569,-74.16829,Private Property,,0,0,0,0,0,0,0,"Mecus,Robert ",Other,,"{'longitude': '-74.16829', 'needs_recoding': False, 'latitude': '41.87569'}"
NYS-2008-0017,Lockwood Hill Fire,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-09T00:00:00,4,4B,OTSEGO,UNADILLA,Equipment, 1 - Grass - Light,4,1.5,42.38189,-75.37085,Private Property,,0,0,0,0,1,0,0,"Prunoske,James ",911 Dispatch,,"{'longitude': '-75.37085', 'needs_recoding': False, 'latitude': '42.38189'}"
NYS-2008-0018,Fountain Flat Road Fire,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-09T00:00:00,4,4A,GREENE,COXSACKIE,Smoking, 2 - Grass - Understory,4,1,42.33623,-73.8502,Private Property,,0,0,0,0,0,0,0,"Nelson,Christine X",911 Dispatch,,"{'longitude': '-73.8502', 'needs_recoding': False, 'latitude': '42.33623'}"
NYS-2008-0019,Mohonk RX #2,2008-04-10T00:00:00,2008-04-11T00:00:00,2008-04-10T00:00:00,3,3B,ULSTER,MARBLETOWN,Prescribed Fire, 3 - Grass - Heavy,5,6.2,41.87569,-74.16829,Private Property,,0,0,0,0,0,0,0,"Mecus,Robert ",Other,,"{'longitude': '-74.16829', 'needs_recoding': False, 'latitude': '41.87569'}"
NYS-2008-0020,Eight Kids Fire,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-09T00:00:00,9,9A,ALLEGANY,SCIO,Debris Burning, 3 - Grass - Heavy,5,4.4,42.18219,-77.90907,Private Property,,0,0,0,0,0,0,0,"Liebig,Peter J",911 Dispatch,,"{'longitude': '-77.90907', 'needs_recoding': False, 'latitude': '42.18219'}"
NYS-2008-0021,Catskill Resort Fire,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-15T00:00:00,4,4A,GREENE,CATSKILL,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,1,42.17623,-74.02845,Private Property,,0,0,0,1,1,0,1,"Breigle,Jeffrey ",911 Dispatch,,"{'longitude': '-74.02845', 'needs_recoding': False, 'latitude': '42.17623'}"
NYS-2008-0022,Loomis Hill,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-15T00:00:00,7,7A,BROOME,SANFORD,Equipment, 1 - Grass - Light,5,11.4,42.09781,-75.43599,Private Property,,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.43599', 'needs_recoding': False, 'latitude': '42.09781'}"
NYS-2008-0023,Haypath,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-15T00:00:00,7,7A,CHENANGO,GUILFORD,Debris Burning, 1 - Grass - Light,5,7,42.39875,-75.46461,Private Property,,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.46461', 'needs_recoding': False, 'latitude': '42.39875'}"
NYS-2008-0024,Wertheim (area F1),2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-16T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,4,3.8,40.78199,-72.88954,Other Government,N/A,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'longitude': '-72.88954', 'needs_recoding': False, 'latitude': '40.78199'}"
NYS-2008-0025,Blosser,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-15T00:00:00,9,9A,ALLEGANY,ALLEN,Debris Burning, 8 - Timber - Light Hardwood Litter,5,8,42.40801,-77.96034,Private Property,,0,0,0,0,0,0,0,"Thaine,Justin T",911 Dispatch,,"{'longitude': '-77.96034', 'needs_recoding': False, 'latitude': '42.40801'}"
NYS-2008-0026,Berger Fire,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-16T00:00:00,5,5D,FULTON,JOHNSTOWN,Lightning, 9 - Timber - Medium Hardwood Litter,5,3,43.0471,-74.40559,State Forest/RF Area,Peck Hill State Forest,0,0,0,0,0,0,0,"Kallen,David A",911 Dispatch,,"{'longitude': '-74.40559', 'needs_recoding': False, 'latitude': '43.0471'}"
NYS-2008-0027,Oxbow Fire,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-16T00:00:00,7,7A,CHENANGO,AFTON,Debris Burning, 8 - Timber - Light Hardwood Litter,5,11.3,42.22268,-75.50429,Private Property,N/A,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.50429', 'needs_recoding': False, 'latitude': '42.22268'}"
NYS-2008-0028,Windom Hill,2008-04-15T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,8,8A,STEUBEN,FREMONT,Debris Burning, 9 - Timber - Medium Hardwood Litter,5,0.2,42.39685,-77.64312,Private Property,,0,0,0,0,0,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.64312', 'needs_recoding': False, 'latitude': '42.39685'}"
NYS-2008-0029,Nellie Hill Rx,2008-04-15T00:00:00,2008-04-15T00:00:00,2008-04-15T00:00:00,3,3B,DUTCHESS,DOVER,Prescribed Fire, 3 - Grass - Heavy,5,8.6,41.73852,-73.57947,Private Property,,0,0,0,0,0,0,0,"Tyrrell,Gregory ",Other,,"{'longitude': '-73.57947', 'needs_recoding': False, 'latitude': '41.73852'}"
NYS-2008-0030,Plattekill Fire,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-17T00:00:00,3,3B,ULSTER,PLATTEKILL,Power line, 9 - Timber - Medium Hardwood Litter,4,15,41.61077,-74.03539,Other Government,,0,0,0,0,0,0,0,"Slingerland,David ",911 Dispatch,,"{'longitude': '-74.03539', 'needs_recoding': False, 'latitude': '41.61077'}"
NYS-2008-0031,Shots Fire,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,5,5D,FULTON,BROADALBIN,Debris Burning, 1 - Grass - Light,5,0.2,43.06262,-74.11146,Private Property,,0,0,0,0,0,0,0,"Kallen,David A",Ranger Patrol,,"{'longitude': '-74.11146', 'needs_recoding': False, 'latitude': '43.06262'}"
NYS-2008-0032,Bringham Fire,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,7,7A,BROOME,MAINE,Equipment, 8 - Timber - Light Hardwood Litter,5,3.7,42.22297,-75.97687,Private Property,,0,0,0,0,0,0,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.97687', 'needs_recoding': False, 'latitude': '42.22297'}"
NYS-2008-0033,Acorn Hill,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-22T00:00:00,8,8A,STEUBEN,HORNELLSVILLE,Incendiary, 9 - Timber - Medium Hardwood Litter,4,11.4,42.3624,-77.65549,Private Property,N/A,0,0,1,0,1,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.65549', 'needs_recoding': False, 'latitude': '42.3624'}"
NYS-2008-0035,Currans Field,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 1 - Grass - Light,4,80.6,40.90341,-72.92848,Wildlife Management Area,Rocky Point Natural Resource MA,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'longitude': '-72.92848', 'needs_recoding': False, 'latitude': '40.90341'}"
NYS-2008-0036,Cram,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,8,8A,STEUBEN,HORNBY,Debris Burning, 8 - Timber - Light Hardwood Litter,5,1,42.21115,-77.0544,Private Property,N/A,0,0,0,0,1,0,1,"Meehan,William X",911 Dispatch,,"{'longitude': '-77.0544', 'needs_recoding': False, 'latitude': '42.21115'}"
NYS-2008-0038,Wemple Road Fire,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-17T00:00:00,4,4A,ALBANY,BETHLEHEM,Railroad, 7 - Brush - Understory,4,5.8,42.5651,-73.77813,Private Property,,0,0,1,0,0,0,0,"Henry,William ",Landowner,CSX,"{'longitude': '-73.77813', 'needs_recoding': False, 'latitude': '42.5651'}"
NYS-2008-0039,Lyman,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,9,9A,ALLEGANY,CLARKSVILLE,Miscellaneous, 8 - Timber - Light Hardwood Litter,4,4,42.15,-78.25433,Private Property,,0,0,0,0,0,0,0,"Thaine,Justin T",911 Dispatch,,"{'longitude': '-78.25433', 'needs_recoding': False, 'latitude': '42.15'}"
NYS-2008-0040,8759 #4 Rd,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-18T00:00:00,6,6B,LEWIS,NEW BREMEN,Debris Burning, 2 - Grass - Understory,5,0.5,43.83511,-75.29823,Private Property,,0,0,0,0,0,0,0,"Evans,Luke ",911 Dispatch,,"{'longitude': '-75.29823', 'needs_recoding': False, 'latitude': '43.83511'}"
NYS-2008-0041,Mahon,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,9,9A,CATTARAUGUS,HINSDALE,Miscellaneous, 1 - Grass - Light,5,1.8,42.16352,-78.33904,Private Property,,0,0,0,0,0,0,0,"Rogers,Robert C",911 Dispatch,,"{'longitude': '-78.33904', 'needs_recoding': False, 'latitude': '42.16352'}"
NYS-2008-0043,Polhamus,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,7,7A,CHENANGO,AFTON,Debris Burning, 1 - Grass - Light,5,1.5,42.22636,-75.62361,Private Property,,0,0,0,0,0,1,0,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-75.62361', 'needs_recoding': False, 'latitude': '42.22636'}"
NYS-2008-0044,Berme Road Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,3,3B,ULSTER,WAWARSING,Equipment, 9 - Timber - Medium Hardwood Litter,5,1,41.75745,-74.42621,Private Property,,0,0,0,0,0,0,0,"Geesler,Sarah B",911 Dispatch,,"{'longitude': '-74.42621', 'needs_recoding': False, 'latitude': '41.75745'}"
NYS-2008-0046,Hale Road Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-18T00:00:00,4,4A,ALBANY,RENSSELAERVILLE,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,46.7,42.4877,-74.13807,Private Property,,0,0,1,0,4,0,0,"Glesmann,Karen ",911 Dispatch,,"{'longitude': '-74.13807', 'needs_recoding': False, 'latitude': '42.4877'}"
NYS-2008-0047,Rivermead,2008-04-16T00:00:00,2008-04-16T00:00:00,2008-04-16T00:00:00,5,5C,ESSEX,KEENE,Debris Burning, 1 - Grass - Light,5,6,44.2041,-73.78413,Private Property,,0,0,0,0,0,0,0,"Platt,Charles ",911 Dispatch,,"{'longitude': '-73.78413', 'needs_recoding': False, 'latitude': '44.2041'}"
NYS-2008-0048,Crumb Hill,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,7,7A,CHENANGO,OTSELIC,Debris Burning, 5 - Brush - Continuous but Light,4,1,42.70596,-75.74619,Private Property,,0,0,0,0,0,0,2,"Prunoske,James ",911 Dispatch,,"{'longitude': '-75.74619', 'needs_recoding': False, 'latitude': '42.70596'}"
NYS-2008-0049,Worth,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,5,5B,CLINTON,AUSABLE,Debris Burning, 7 - Brush - Understory,5,0.3,44.29626,-73.307,Private Property,,0,0,0,0,0,0,1,"Fox,Daniel ",911 Dispatch,,"{'longitude': '-73.307', 'needs_recoding': False, 'latitude': '44.29626'}"
NYS-2008-0050,Wilty Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,4,4B,SCHOHARIE,CARLISLE,Debris Burning, 1 - Grass - Light,4,0.9,42.7238,-74.42277,Private Property,N/A,0,0,0,0,0,0,0,"Dent,Thomas I",911 Dispatch,,"{'longitude': '-74.42277', 'needs_recoding': False, 'latitude': '42.7238'}"
NYS-2008-0051,New Kingston Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,4,4B,DELAWARE,ROXBURY,Debris Burning, 8 - Timber - Light Hardwood Litter,4,3.5,42.25562,-74.02468,Private Property,N/A,0,0,0,0,0,0,0,"Bink,Joseph L",911 Dispatch,,"{'longitude': '-74.02468', 'needs_recoding': False, 'latitude': '42.25562'}"
NYS-2008-0052,Fremont Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,3,3A,SULLIVAN,TUSTEN,Equipment, 1 - Grass - Light,5,3.5,41.53646,-75.02141,Private Property,N/A,0,0,0,0,0,0,0,"Seeley,Jason J",Landowner,,"{'longitude': '-75.02141', 'needs_recoding': False, 'latitude': '41.53646'}"
NYS-2008-0053,Cold Spring,2008-04-09T00:00:00,2008-04-09T00:00:00,2008-04-09T00:00:00,8,8A,STEUBEN,URBANA,Debris Burning, 8 - Timber - Light Hardwood Litter,5,3.2,42.3806,-77.28628,Private Property,,36,0,0,0,0,0,0,"Carpenter,Timothy J",911 Dispatch,,"{'longitude': '-77.28628', 'needs_recoding': False, 'latitude': '42.3806'}"
NYS-2008-0054,Gump Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,8,8A,STEUBEN,COHOCTON,Debris Burning, 8 - Timber - Light Hardwood Litter,5,0.5,42.45084,-77.48978,Private Property,,0,0,0,0,0,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.48978', 'needs_recoding': False, 'latitude': '42.45084'}"
NYS-2008-0055,Amity Lake,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-18T00:00:00,9,9A,ALLEGANY,AMITY,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,4,42.21637,-77.98818,Private Property,N/A,0,0,0,0,0,0,0,"Thaine,Justin T",911 Dispatch,,"{'longitude': '-77.98818', 'needs_recoding': False, 'latitude': '42.21637'}"
NYS-2008-0056,McCinstry,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,9,9A,CATTARAUGUS,YORKSHIRE,Miscellaneous, 3 - Grass - Heavy,5,0.1,42.48565,-78.50918,Private Property,N/A,0,0,0,0,0,0,1,"Carpenter,Timothy J",Ranger Patrol,,"{'longitude': '-78.50918', 'needs_recoding': False, 'latitude': '42.48565'}"
NYS-2008-0057,Fortune,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-17T00:00:00,7,7A,CHENANGO,GERMAN,Prescribed Fire, 8 - Timber - Light Hardwood Litter,4,4,42.45524,-75.81391,Private Property,N/A,0,0,0,0,0,0,0,"Prunoske,James ",911 Dispatch,,"{'longitude': '-75.81391', 'needs_recoding': False, 'latitude': '42.45524'}"
NYS-2008-0058,Clute Rd,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-18T00:00:00,8,8A,YATES,ITALY,Debris Burning, 8 - Timber - Light Hardwood Litter,4,4.3,42.57632,-77.3535,Private Property,N/A,0,0,0,0,0,0,0,"Dormer,Patrick G",911 Dispatch,,"{'longitude': '-77.3535', 'needs_recoding': False, 'latitude': '42.57632'}"
NYS-2008-0059,Overlooks Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-29T00:00:00,3,3B,ULSTER,ROCHESTER,Smoking,10 - Timber  - Heavy Litter/Downed Fuels,2,2855,41.74686,-74.26252,OPR&HP (State Parks),Minnewaska State Park,196584,0,3,0,40,1,12,"Tyrrell,Gregory ",911 Dispatch,,"{'longitude': '-74.26252', 'needs_recoding': False, 'latitude': '41.74686'}"
NYS-2008-0060,Ferguson Fire,2008-04-17T00:00:00,2008-04-17T00:00:00,2008-04-22T00:00:00,5,5F,WASHINGTON,HEBRON,Incendiary, 8 - Timber - Light Hardwood Litter,4,18.4,43.23385,-73.36513,Private Property,N/A,0,0,0,0,0,0,0,"Bodnar,Michael J",DEC Dispatch,,"{'longitude': '-73.36513', 'needs_recoding': False, 'latitude': '43.23385'}"
NYS-2008-0061,Union Vale,2008-04-18T00:00:00,2008-04-18T00:00:00,2008-04-18T00:00:00,3,3B,DUTCHESS,UNION VALE,Equipment, 1 - Grass - Light,1,0.1,41.72495,-73.73302,Other Not Classified,,0,0,0,0,0,0,0,"Dominesey,Megan M",Fire Department,,"{'longitude': '-73.73302', 'needs_recoding': False, 'latitude': '41.72495'}"
NYS-2008-0062,Retterer,2008-04-18T00:00:00,2008-04-18T00:00:00,2008-04-18T00:00:00,8,8A,CHEMUNG,CATLIN,Debris Burning, 9 - Timber - Medium Hardwood Litter,5,7.1,42.26319,-76.95427,Private Property,N/A,18,0,2,0,0,0,0,"Meehan,William X",911 Dispatch,,"{'longitude': '-76.95427', 'needs_recoding': False, 'latitude': '42.26319'}"
NYS-2008-0063,Rogers,2008-04-18T00:00:00,2008-04-18T00:00:00,2008-04-19T00:00:00,6,6B,LEWIS,LYONSDALE,Debris Burning, 8 - Timber - Light Hardwood Litter,4,0.5,43.60688,-75.16643,Private Property,,0,0,0,1,0,0,2,"Scanlon,John ",911 Dispatch,,"{'longitude': '-75.16643', 'needs_recoding': False, 'latitude': '43.60688'}"
NYS-2008-0064,English Oak,2008-04-18T00:00:00,2008-04-18T00:00:00,2008-04-18T00:00:00,1,1A,SUFFOLK,BABYLON,Incendiary, 8 - Timber - Light Hardwood Litter,4,0.2,40.76797,-73.30386,Unique Area,Edgewood Oak Brush Plains ,0,0,0,0,0,0,0,"Thompson,Michael W",Supervisor,,"{'longitude': '-73.30386', 'needs_recoding': False, 'latitude': '40.76797'}"
NYS-2008-0065,Palladino Road Fire,2008-04-16T00:00:00,2008-04-18T00:00:00,2008-04-18T00:00:00,7,7A,ONONDAGA,POMPEY,Miscellaneous, 1 - Grass - Light,3,29,42.9471,-76.05934,Private Property,N/A,0,0,0,0,0,0,0,"McPherson,James ",Other,,"{'longitude': '-76.05934', 'needs_recoding': False, 'latitude': '42.9471'}"
NYS-2008-0068,Mckie Hollow Rd,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-28T00:00:00,5,5F,WASHINGTON,WHITE CREEK,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,55,43.0251,-73.2988,Private Property,N/A,0,0,0,0,0,0,0,"Bodnar,Michael J",911 Dispatch,,"{'longitude': '-73.2988', 'needs_recoding': False, 'latitude': '43.0251'}"
NYS-2008-0069,West Martinsburg,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-19T00:00:00,6,6B,LEWIS,MARTINSBURG,Debris Burning, 1 - Grass - Light,5,0.2,43.76205,-75.51869,Private Property,N/A,0,0,0,0,0,0,0,"Snyder,Jennifer M",DEC Dispatch,,"{'longitude': '-75.51869', 'needs_recoding': False, 'latitude': '43.76205'}"
NYS-2008-0070,Gary's Gulch,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-25T00:00:00,8,8A,STEUBEN,CAMERON,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,32.5,42.22999,-77.4257,Private Property,N/A,108,0,2,0,0,0,0,"Farrand,Anne M",911 Dispatch,,"{'longitude': '-77.4257', 'needs_recoding': False, 'latitude': '42.22999'}"
NYS-2008-0071,Partridge Rd,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-20T00:00:00,5,5C,ESSEX,KEENE,Debris Burning, 8 - Timber - Light Hardwood Litter,5,4,44.05972,-73.78204,Private Property,,0,0,3,0,0,0,1,"Giglinto,James ",Ranger Patrol,,"{'longitude': '-73.78204', 'needs_recoding': False, 'latitude': '44.05972'}"
NYS-2008-0072,Bostwick Rd,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-19T00:00:00,7,7A,TOMPKINS,ITHACA,Debris Burning, 8 - Timber - Light Hardwood Litter,4,1.6,42.42556,-76.5499,Private Property,N/A,0,0,0,0,0,0,3,"Oldroyd,Jeremy M",911 Dispatch,,"{'longitude': '-76.5499', 'needs_recoding': False, 'latitude': '42.42556'}"
NYS-2008-0073,Ruggles R Fire,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-20T00:00:00,5,5F,SARATOGA,WILTON,Children, 8 - Timber - Light Hardwood Litter,4,11.1,43.14742,-37.67277,Other Government,N?A,0,0,1,0,0,0,0,"Laczko,Jaime ",911 Dispatch,,"{'longitude': '-37.67277', 'needs_recoding': False, 'latitude': '43.14742'}"
NYS-2008-0074,Bloomingburg,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-20T00:00:00,3,3B,SULLIVAN,MAMAKATING,Debris Burning, 2 - Grass - Understory,4,14.8,41.5764,-74.45658,Private Property,N/A,0,0,0,0,0,0,0,"Murphy,Scott ",DEC Dispatch,,"{'longitude': '-74.45658', 'needs_recoding': False, 'latitude': '41.5764'}"
NYS-2008-0075,Bowman Hill,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-19T00:00:00,8,8A,CHEMUNG,HORSEHEADS,Debris Burning, 8 - Timber - Light Hardwood Litter,5,7.5,42.17794,-76.79268,Private Property,N?A,0,0,0,0,0,0,1,"Meehan,William X",911 Dispatch,,"{'longitude': '-76.79268', 'needs_recoding': False, 'latitude': '42.17794'}"
NYS-2008-0076,Upper New Town Rd,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-19T00:00:00,5,5C,SARATOGA,HALFMOON,Children, 6 - Brush - Mixed/Regeneration,5,9,42.86858,-73.72295,Private Property,NA,0,0,0,0,0,0,0,"Seifts,John ",911 Dispatch,,"{'longitude': '-73.72295', 'needs_recoding': False, 'latitude': '42.86858'}"
NYS-2008-0077,Stateland Rd Fire,2008-04-19T00:00:00,2008-04-19T00:00:00,2008-04-19T00:00:00,9,9A,CATTARAUGUS,NEW ALBION,Debris Burning, 8 - Timber - Light Hardwood Litter,5,1.8,42.33228,-78.83565,Private Property,N/A,0,0,0,0,0,1,0,"Flanagan,Martin T",Landowner,,"{'longitude': '-78.83565', 'needs_recoding': False, 'latitude': '42.33228'}"
